KeyValuePair`2,KeyValuePair`2.Key,KeyValuePair`2.Value
"[1/2/2025 12:00:00 AM, 1.7508454039883963E-35]","1/2/2025 12:00:00 AM",1.7508454039883963E-35
"[1/3/2025 12:00:00 AM, 0]","1/3/2025 12:00:00 AM",0
"[1/6/2025 12:00:00 AM, 7.003381615953585E-35]","1/6/2025 12:00:00 AM",7.003381615953585E-35
"[1/7/2025 12:00:00 AM, 1.7508454039883963E-35]","1/7/2025 12:00:00 AM",1.7508454039883963E-35
"[1/8/2025 12:00:00 AM, 0]","1/8/2025 12:00:00 AM",0
"[1/9/2025 12:00:00 AM, 7.003381615953585E-35]","1/9/2025 12:00:00 AM",7.003381615953585E-35
"[1/10/2025 12:00:00 AM, 0]","1/10/2025 12:00:00 AM",0
"[1/13/2025 12:00:00 AM, 1.7508454039883963E-35]","1/13/2025 12:00:00 AM",1.7508454039883963E-35
"[1/14/2025 12:00:00 AM, 7.003381615953585E-35]","1/14/2025 12:00:00 AM",7.003381615953585E-35
"[1/15/2025 12:00:00 AM, 4.377113509970991E-36]","1/15/2025 12:00:00 AM",4.377113509970991E-36
"[1/16/2025 12:00:00 AM, 1.7508454039883963E-35]","1/16/2025 12:00:00 AM",1.7508454039883963E-35
"[1/17/2025 12:00:00 AM, 1.7508454039883963E-35]","1/17/2025 12:00:00 AM",1.7508454039883963E-35
"[1/21/2025 12:00:00 AM, 1.7508454039883963E-35]","1/21/2025 12:00:00 AM",1.7508454039883963E-35
"[1/22/2025 12:00:00 AM, 4.377113509970991E-36]","1/22/2025 12:00:00 AM",4.377113509970991E-36
"[1/23/2025 12:00:00 AM, 0]","1/23/2025 12:00:00 AM",0
